Geneid,PC3_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Normoxia_S1,LNCAP_Hypoxia_S2,PC3_Normoxia_S1,PC3_Hypoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S1
ENSG00000024422,6,18,1,3,5,20,0,3
ENSG00000024526,1158,3497,1123,886,1278,3482,995,829
ENSG00000024862,117,299,405,310,113,296,505,303
ENSG00000025039,350,805,742,1409,306,1058,962,1263
ENSG00000025156,124,415,991,1419,146,430,1051,1347
ENSG00000025293,408,1291,2998,3470,483,1219,3303,2976
ENSG00000025423,4,23,88,117,8,13,127,113
ENSG00000025434,33,155,582,408,83,78,907,381
ENSG00000025708,31,114,279,208,43,72,542,189
ENSG00000025770,85,292,425,363,138,218,571,367
ENSG00000025772,1955,6216,2731,3204,2103,5094,4008,2693
ENSG00000025796,851,2577,14957,16433,813,2927,16304,15016
ENSG00000025800,515,2238,3926,4145,783,1629,5352,3698
ENSG00000026025,4789,4647,1628,2126,1690,13548,1983,3332
ENSG00000026036,1,53,24,59,24,16,37,32
ENSG00000026103,116,446,713,451,185,338,822,425
ENSG00000026297,50,104,700,649,47,96,850,634
ENSG00000026508,6330,17894,12,9,5978,19797,14,20
ENSG00000026559,122,475,240,167,177,291,374,249
ENSG00000026652,136,299,11,13,123,365,7,13
ENSG00000026751,7,12,1,0,5,30,5,0
ENSG00000026950,106,961,1031,617,383,350,1052,620
ENSG00000027001,277,926,1212,1505,339,843,1687,1255
ENSG00000027075,101,482,545,762,158,336,625,719
ENSG00000027644,0,2,0,0,4,3,3,1
ENSG00000027697,294,708,1094,1282,231,902,1199,1050
ENSG00000027847,92,321,554,732,109,237,862,594
ENSG00000027869,127,307,9,9,113,317,9,6
ENSG00000028116,112,418,965,825,144,322,1057,825
ENSG00000028137,1,5,9,8,5,3,24,3
ENSG00000028203,495,1278,5599,5004,473,1377,6749,4779
ENSG00000028277,72,214,16,36,62,180,12,27
ENSG00000028310,106,463,1164,1204,183,322,1494,1026
ENSG00000028528,416,1194,4033,3949,488,1105,4959,3494
ENSG00000028839,157,470,753,1313,175,396,969,1538
ENSG00000029153,1874,4790,322,737,1735,5583,431,731
ENSG00000029363,1163,3406,10770,14589,1215,3790,11138,12604
ENSG00000029364,2217,5920,3304,3920,2196,6315,4112,3256
ENSG00000029534,6,56,257,328,25,22,277,565
ENSG00000029559,0,0,4,115,0,0,7,59
ENSG00000029639,71,260,309,308,95,233,347,349
ENSG00000029725,148,651,4081,4517,189,542,4401,5992
ENSG00000029993,400,1167,2412,2829,445,1097,3144,2605
ENSG00000030066,596,2114,2837,2894,865,1812,2635,2325
ENSG00000030110,81,260,213,267,96,210,323,442
ENSG00000030304,4,8,9,9,1,1,4,9
